sensor,agg,axis,feature_name
tBodyAcc,mean(),X,tBodyAcc-mean()-X
tBodyAcc,mean(),Y,tBodyAcc-mean()-Y
tBodyAcc,mean(),Z,tBodyAcc-mean()-Z
tBodyAcc,std(),X,tBodyAcc-std()-X
tBodyAcc,std(),Y,tBodyAcc-std()-Y
tBodyAcc,std(),Z,tBodyAcc-std()-Z
tBodyAcc,mad(),X,tBodyAcc-mad()-X
tBodyAcc,mad(),Y,tBodyAcc-mad()-Y
tBodyAcc,mad(),Z,tBodyAcc-mad()-Z
tBodyAcc,max(),X,tBodyAcc-max()-X
tBodyAcc,max(),Y,tBodyAcc-max()-Y
tBodyAcc,max(),Z,tBodyAcc-max()-Z
tBodyAcc,min(),X,tBodyAcc-min()-X
tBodyAcc,min(),Y,tBodyAcc-min()-Y
tBodyAcc,min(),Z,tBodyAcc-min()-Z
tBodyAcc,sma(),,tBodyAcc-sma()
tBodyAcc,energy(),X,tBodyAcc-energy()-X
tBodyAcc,energy(),Y,tBodyAcc-energy()-Y
tBodyAcc,energy(),Z,tBodyAcc-energy()-Z
tBodyAcc,iqr(),X,tBodyAcc-iqr()-X
tBodyAcc,iqr(),Y,tBodyAcc-iqr()-Y
tBodyAcc,iqr(),Z,tBodyAcc-iqr()-Z
tBodyAcc,entropy(),X,tBodyAcc-entropy()-X
tBodyAcc,entropy(),Y,tBodyAcc-entropy()-Y
tBodyAcc,entropy(),Z,tBodyAcc-entropy()-Z
tBodyAcc,arCoeff(),"X,1","tBodyAcc-arCoeff()-X,1"
tBodyAcc,arCoeff(),"X,2","tBodyAcc-arCoeff()-X,2"
tBodyAcc,arCoeff(),"X,3","tBodyAcc-arCoeff()-X,3"
tBodyAcc,arCoeff(),"X,4","tBodyAcc-arCoeff()-X,4"
tBodyAcc,arCoeff(),"Y,1","tBodyAcc-arCoeff()-Y,1"
tBodyAcc,arCoeff(),"Y,2","tBodyAcc-arCoeff()-Y,2"
tBodyAcc,arCoeff(),"Y,3","tBodyAcc-arCoeff()-Y,3"
tBodyAcc,arCoeff(),"Y,4","tBodyAcc-arCoeff()-Y,4"
tBodyAcc,arCoeff(),"Z,1","tBodyAcc-arCoeff()-Z,1"
tBodyAcc,arCoeff(),"Z,2","tBodyAcc-arCoeff()-Z,2"
tBodyAcc,arCoeff(),"Z,3","tBodyAcc-arCoeff()-Z,3"
tBodyAcc,arCoeff(),"Z,4","tBodyAcc-arCoeff()-Z,4"
tBodyAcc,correlation(),"X,Y","tBodyAcc-correlation()-X,Y"
tBodyAcc,correlation(),"X,Z","tBodyAcc-correlation()-X,Z"
tBodyAcc,correlation(),"Y,Z","tBodyAcc-correlation()-Y,Z"
tGravityAcc,mean(),X,tGravityAcc-mean()-X
tGravityAcc,mean(),Y,tGravityAcc-mean()-Y
tGravityAcc,mean(),Z,tGravityAcc-mean()-Z
tGravityAcc,std(),X,tGravityAcc-std()-X
tGravityAcc,std(),Y,tGravityAcc-std()-Y
tGravityAcc,std(),Z,tGravityAcc-std()-Z
tGravityAcc,mad(),X,tGravityAcc-mad()-X
tGravityAcc,mad(),Y,tGravityAcc-mad()-Y
tGravityAcc,mad(),Z,tGravityAcc-mad()-Z
tGravityAcc,max(),X,tGravityAcc-max()-X
tGravityAcc,max(),Y,tGravityAcc-max()-Y
tGravityAcc,max(),Z,tGravityAcc-max()-Z
tGravityAcc,min(),X,tGravityAcc-min()-X
tGravityAcc,min(),Y,tGravityAcc-min()-Y
tGravityAcc,min(),Z,tGravityAcc-min()-Z
tGravityAcc,sma(),,tGravityAcc-sma()
tGravityAcc,energy(),X,tGravityAcc-energy()-X
tGravityAcc,energy(),Y,tGravityAcc-energy()-Y
tGravityAcc,energy(),Z,tGravityAcc-energy()-Z
tGravityAcc,iqr(),X,tGravityAcc-iqr()-X
tGravityAcc,iqr(),Y,tGravityAcc-iqr()-Y
tGravityAcc,iqr(),Z,tGravityAcc-iqr()-Z
tGravityAcc,entropy(),X,tGravityAcc-entropy()-X
tGravityAcc,entropy(),Y,tGravityAcc-entropy()-Y
tGravityAcc,entropy(),Z,tGravityAcc-entropy()-Z
tGravityAcc,arCoeff(),"X,1","tGravityAcc-arCoeff()-X,1"
tGravityAcc,arCoeff(),"X,2","tGravityAcc-arCoeff()-X,2"
tGravityAcc,arCoeff(),"X,3","tGravityAcc-arCoeff()-X,3"
tGravityAcc,arCoeff(),"X,4","tGravityAcc-arCoeff()-X,4"
tGravityAcc,arCoeff(),"Y,1","tGravityAcc-arCoeff()-Y,1"
tGravityAcc,arCoeff(),"Y,2","tGravityAcc-arCoeff()-Y,2"
tGravityAcc,arCoeff(),"Y,3","tGravityAcc-arCoeff()-Y,3"
tGravityAcc,arCoeff(),"Y,4","tGravityAcc-arCoeff()-Y,4"
tGravityAcc,arCoeff(),"Z,1","tGravityAcc-arCoeff()-Z,1"
tGravityAcc,arCoeff(),"Z,2","tGravityAcc-arCoeff()-Z,2"
tGravityAcc,arCoeff(),"Z,3","tGravityAcc-arCoeff()-Z,3"
tGravityAcc,arCoeff(),"Z,4","tGravityAcc-arCoeff()-Z,4"
tGravityAcc,correlation(),"X,Y","tGravityAcc-correlation()-X,Y"
tGravityAcc,correlation(),"X,Z","tGravityAcc-correlation()-X,Z"
tGravityAcc,correlation(),"Y,Z","tGravityAcc-correlation()-Y,Z"
tBodyAccJerk,mean(),X,tBodyAccJerk-mean()-X
tBodyAccJerk,mean(),Y,tBodyAccJerk-mean()-Y
tBodyAccJerk,mean(),Z,tBodyAccJerk-mean()-Z
tBodyAccJerk,std(),X,tBodyAccJerk-std()-X
tBodyAccJerk,std(),Y,tBodyAccJerk-std()-Y
tBodyAccJerk,std(),Z,tBodyAccJerk-std()-Z
tBodyAccJerk,mad(),X,tBodyAccJerk-mad()-X
tBodyAccJerk,mad(),Y,tBodyAccJerk-mad()-Y
tBodyAccJerk,mad(),Z,tBodyAccJerk-mad()-Z
tBodyAccJerk,max(),X,tBodyAccJerk-max()-X
tBodyAccJerk,max(),Y,tBodyAccJerk-max()-Y
tBodyAccJerk,max(),Z,tBodyAccJerk-max()-Z
tBodyAccJerk,min(),X,tBodyAccJerk-min()-X
tBodyAccJerk,min(),Y,tBodyAccJerk-min()-Y
tBodyAccJerk,min(),Z,tBodyAccJerk-min()-Z
tBodyAccJerk,sma(),,tBodyAccJerk-sma()
tBodyAccJerk,energy(),X,tBodyAccJerk-energy()-X
tBodyAccJerk,energy(),Y,tBodyAccJerk-energy()-Y
tBodyAccJerk,energy(),Z,tBodyAccJerk-energy()-Z
tBodyAccJerk,iqr(),X,tBodyAccJerk-iqr()-X
tBodyAccJerk,iqr(),Y,tBodyAccJerk-iqr()-Y
tBodyAccJerk,iqr(),Z,tBodyAccJerk-iqr()-Z
tBodyAccJerk,entropy(),X,tBodyAccJerk-entropy()-X
tBodyAccJerk,entropy(),Y,tBodyAccJerk-entropy()-Y
tBodyAccJerk,entropy(),Z,tBodyAccJerk-entropy()-Z
tBodyAccJerk,arCoeff(),"X,1","tBodyAccJerk-arCoeff()-X,1"
tBodyAccJerk,arCoeff(),"X,2","tBodyAccJerk-arCoeff()-X,2"
tBodyAccJerk,arCoeff(),"X,3","tBodyAccJerk-arCoeff()-X,3"
tBodyAccJerk,arCoeff(),"X,4","tBodyAccJerk-arCoeff()-X,4"
tBodyAccJerk,arCoeff(),"Y,1","tBodyAccJerk-arCoeff()-Y,1"
tBodyAccJerk,arCoeff(),"Y,2","tBodyAccJerk-arCoeff()-Y,2"
tBodyAccJerk,arCoeff(),"Y,3","tBodyAccJerk-arCoeff()-Y,3"
tBodyAccJerk,arCoeff(),"Y,4","tBodyAccJerk-arCoeff()-Y,4"
tBodyAccJerk,arCoeff(),"Z,1","tBodyAccJerk-arCoeff()-Z,1"
tBodyAccJerk,arCoeff(),"Z,2","tBodyAccJerk-arCoeff()-Z,2"
tBodyAccJerk,arCoeff(),"Z,3","tBodyAccJerk-arCoeff()-Z,3"
tBodyAccJerk,arCoeff(),"Z,4","tBodyAccJerk-arCoeff()-Z,4"
tBodyAccJerk,correlation(),"X,Y","tBodyAccJerk-correlation()-X,Y"
tBodyAccJerk,correlation(),"X,Z","tBodyAccJerk-correlation()-X,Z"
tBodyAccJerk,correlation(),"Y,Z","tBodyAccJerk-correlation()-Y,Z"
tBodyGyro,mean(),X,tBodyGyro-mean()-X
tBodyGyro,mean(),Y,tBodyGyro-mean()-Y
tBodyGyro,mean(),Z,tBodyGyro-mean()-Z
tBodyGyro,std(),X,tBodyGyro-std()-X
tBodyGyro,std(),Y,tBodyGyro-std()-Y
tBodyGyro,std(),Z,tBodyGyro-std()-Z
tBodyGyro,mad(),X,tBodyGyro-mad()-X
tBodyGyro,mad(),Y,tBodyGyro-mad()-Y
tBodyGyro,mad(),Z,tBodyGyro-mad()-Z
tBodyGyro,max(),X,tBodyGyro-max()-X
tBodyGyro,max(),Y,tBodyGyro-max()-Y
tBodyGyro,max(),Z,tBodyGyro-max()-Z
tBodyGyro,min(),X,tBodyGyro-min()-X
tBodyGyro,min(),Y,tBodyGyro-min()-Y
tBodyGyro,min(),Z,tBodyGyro-min()-Z
tBodyGyro,sma(),,tBodyGyro-sma()
tBodyGyro,energy(),X,tBodyGyro-energy()-X
tBodyGyro,energy(),Y,tBodyGyro-energy()-Y
tBodyGyro,energy(),Z,tBodyGyro-energy()-Z
tBodyGyro,iqr(),X,tBodyGyro-iqr()-X
tBodyGyro,iqr(),Y,tBodyGyro-iqr()-Y
tBodyGyro,iqr(),Z,tBodyGyro-iqr()-Z
tBodyGyro,entropy(),X,tBodyGyro-entropy()-X
tBodyGyro,entropy(),Y,tBodyGyro-entropy()-Y
tBodyGyro,entropy(),Z,tBodyGyro-entropy()-Z
tBodyGyro,arCoeff(),"X,1","tBodyGyro-arCoeff()-X,1"
tBodyGyro,arCoeff(),"X,2","tBodyGyro-arCoeff()-X,2"
tBodyGyro,arCoeff(),"X,3","tBodyGyro-arCoeff()-X,3"
tBodyGyro,arCoeff(),"X,4","tBodyGyro-arCoeff()-X,4"
tBodyGyro,arCoeff(),"Y,1","tBodyGyro-arCoeff()-Y,1"
tBodyGyro,arCoeff(),"Y,2","tBodyGyro-arCoeff()-Y,2"
tBodyGyro,arCoeff(),"Y,3","tBodyGyro-arCoeff()-Y,3"
tBodyGyro,arCoeff(),"Y,4","tBodyGyro-arCoeff()-Y,4"
tBodyGyro,arCoeff(),"Z,1","tBodyGyro-arCoeff()-Z,1"
tBodyGyro,arCoeff(),"Z,2","tBodyGyro-arCoeff()-Z,2"
tBodyGyro,arCoeff(),"Z,3","tBodyGyro-arCoeff()-Z,3"
tBodyGyro,arCoeff(),"Z,4","tBodyGyro-arCoeff()-Z,4"
