tBodyAcc-mean()-Z,"tBodyAcc-arCoeff()-X,2","tBodyAcc-arCoeff()-Y,1",tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,"tBodyAccJerk-arCoeff()-X,2","tBodyAccJerk-arCoeff()-Y,1","tBodyAccJerk-arCoeff()-Y,3","tBodyAccJerk-arCoeff()-Z,1","tBodyGyro-arCoeff()-Z,3",tBodyGyroJerk-mean()-Y,tBodyGyroJerk-max()-Y,"tBodyGyroJerk-arCoeff()-Y,3","tBodyGyroJerk-arCoeff()-Z,2","tBodyGyroJerk-arCoeff()-Z,3",tBodyAccMag-min(),tGravityAccMag-arCoeff()3,tBodyAccJerkMag-min(),tBodyGyroMag-std(),tBodyGyroMag-energy(),tBodyGyroJerkMag-arCoeff()3,fBodyAcc-min()-X,fBodyAcc-min()-Z,fBodyAcc-maxInds-X,fBodyAcc-maxInds-Z,"fBodyAcc-bandsEnergy()-25,32","fBodyAcc-bandsEnergy()-57,64","fBodyAcc-bandsEnergy()-25,32.1","fBodyAcc-bandsEnergy()-41,48.1","fBodyAcc-bandsEnergy()-25,48.1","fBodyAcc-bandsEnergy()-49,56.2","fBodyAcc-bandsEnergy()-49,64.2",fBodyAccJerk-min()-Y,fBodyAccJerk-min()-Z,fBodyAccJerk-skewness()-X,fBodyAccJerk-skewness()-Z,"fBodyAccJerk-bandsEnergy()-57,64","fBodyAccJerk-bandsEnergy()-49,64","fBodyAccJerk-bandsEnergy()-25,48","fBodyAccJerk-bandsEnergy()-49,64.1","fBodyAccJerk-bandsEnergy()-41,48.2","fBodyAccJerk-bandsEnergy()-49,64.2",fBodyGyro-min()-Y,"fBodyGyro-bandsEnergy()-49,64.1",fBodyBodyAccJerkMag-iqr(),fBodyBodyAccJerkMag-entropy(),fBodyBodyGyroMag-mean(),fBodyBodyGyroJerkMag-min(),fBodyBodyGyroJerkMag-meanFreq(),"angle(tBodyAccMean,gravity)",Activity,Activity_dynamic
-0.10336219,-0.094783642,-0.10920762,0.068583538,-0.014313548,0.19859962,-0.07366622,0.11309756,-0.058314796,0.35426952,-0.040829125,-0.9907352,-0.091232671,-0.44918156,0.056516698,-0.98393377,0.0035657314,-0.99295684,-0.97007066,-0.9994804,0.19914996,-0.98321799,-0.98768555,-1.0,-1.0,-0.9997635,-0.99989109,-0.99953544,-0.99888434,-0.99948277,-0.99922869,-0.99911772,-0.98605904,-0.98503044,-0.45575601,-0.53658802,-0.99997726,-0.99985553,-0.99965198,-0.99990099,-0.99966944,-0.99971864,-0.99660714,-0.99996938,-0.98514132,-1.0,-0.97543465,-0.99396472,-0.032206587,-0.042493986,STANDING,4
-0.09816338,-0.052477528,0.46476396,0.075947259,0.0044564022,0.13030974,0.40191261,0.51256943,0.011986682,0.50346577,-0.042981002,-0.98724879,0.14291081,-0.27536851,0.4633432,-0.98945718,0.41182122,-0.98800562,-0.97413758,-0.9997087,0.11034863,-0.99541361,-0.99644124,-1.0,-1.0,-0.99991621,-0.99999274,-0.99988474,-0.99978395,-0.99990155,-0.99978697,-0.99985359,-0.99616025,-0.99279719,-0.66448863,-0.37333619,-0.99996081,-0.99987684,-0.99984272,-0.99976513,-0.9998176,-0.99958254,-0.99268111,-0.99994063,-0.98898161,-1.0,-0.97853367,-0.99473345,-0.24670527,-0.062899461,LAYING,3
-0.10871733,-0.22671828,0.30116492,0.079529593,0.014504219,0.11134018,0.26355585,0.56272988,0.31458863,0.13206097,-0.041758536,-0.99588723,0.48732535,-0.048643913,0.15345322,-0.99617656,-0.04042472,-0.97536044,-0.99200582,-0.99991408,-0.08451485,-0.99574741,-0.99898075,-0.16129032,-0.15384615,-0.99986309,-0.99998925,-0.99944086,-0.99954824,-0.99946725,-0.99955705,-0.99969485,-0.99805923,-0.98228132,-0.57118951,-0.58194366,-0.9999956,-0.9999325,-0.99985712,-0.99933263,-0.9995663,-0.99927809,-0.99997126,-0.99997621,-0.99153452,-1.0,-0.99195283,-0.9922003,0.38876464,0.00026514753,STANDING,4
-0.15035406,0.54936313,-0.38411717,-0.30950914,-0.20129272,0.4117136,-0.37261996,0.28834906,-0.25944079,-0.71189389,-0.073833384,-0.71706964,-0.044749686,0.60325887,-0.24585976,-0.40702126,0.065009458,-0.46301935,-0.45351643,-0.73933831,0.11534678,-0.69784995,-0.97376216,-0.80645161,-0.76923077,-0.73656856,-0.77806144,-0.6391803,-0.72944563,-0.66287668,-0.93041501,-0.95047497,-0.35518442,-0.7155849,-0.045165755,-0.030775733,-0.99493283,-0.9582035,-0.79862805,-0.81525514,-0.9408824,-0.8479971,-0.87650942,-0.96933088,-0.38736647,0.32326026,-0.47958972,-0.88922666,0.050888475,-0.25512529,WALKING,0
0.091229249,-0.091537043,-0.61079323,0.58421207,-0.26681536,-0.24869638,-0.62885207,0.09528191,-0.24050077,-0.30596388,-0.06198475,-0.77586938,-0.15148245,0.41835921,-0.23868813,-0.85923093,0.082039272,-0.67785237,-0.24688868,-0.57175918,-0.040952063,0.35845927,-0.92813535,-0.74193548,-0.92307692,-0.67785915,-0.58481079,-0.89309355,-0.87548154,-0.88057837,-0.95886605,-0.97012057,-0.81632728,-0.92519271,-0.2882441,-0.60947266,-0.98038168,-0.74049944,-0.70812036,-0.96257198,-0.98324873,-0.9272455,-0.96009671,-0.99029236,-0.22096277,0.44638532,-0.43336553,-0.81044627,-0.013901624,-0.044343979,WALKING_DOWNSTAIRS,2
-0.061371161,0.15959325,-0.21693088,0.31404467,-0.17772405,0.071635141,-0.26263614,0.063129001,-0.42425109,0.25188185,-0.211456,-0.5902773,-0.00018175422,-0.22143574,0.16242894,-0.82218934,-0.3181565,-0.71469645,-0.43969117,-0.70281699,-0.16056191,-0.82732203,-0.78123329,-0.80645161,-0.76923077,-0.91036886,-0.94523644,-0.82041447,-0.69949552,-0.80460607,-0.86015635,-0.88708439,-0.33985953,-0.85846649,-0.31265154,-0.42217397,-0.99110927,-0.83647929,-0.78187003,-0.90836183,-0.88722947,-0.8796385,-0.66442345,-0.94115705,-0.52804313,0.20942097,-0.39684657,-0.52266225,0.11452377,-0.030645295,WALKING_UPSTAIRS,1
-0.005196211,0.3356795,0.27637443,0.09181662,0.24908406,0.21958623,0.20683928,0.20878364,0.0478448,-0.35599929,-0.30022509,-0.65256259,-0.098037294,0.21072787,-0.22008139,-0.54596449,-0.11166856,-0.61631501,-0.36283097,-0.65699825,0.11111129,-0.81016852,-0.75350802,-0.61290323,-0.69230769,-0.60563276,-0.99467983,-0.58417708,-0.24860771,-0.44510612,-0.7537466,-0.77141747,-0.80823217,-0.52914343,-0.2536484,-0.65051453,-0.95880809,-0.86144081,-0.59103225,-0.76875563,-0.83593515,-0.81098674,-0.68644891,-0.89985201,-0.32798784,0.52568759,-0.44792809,-0.98978631,-0.12776393,0.44520629,WALKING,0
-0.12549146,0.32653746,-0.4849862,0.065062992,0.1216944,0.24005823,-0.55561249,-0.63289941,-0.026292634,0.12031285,-0.016631737,-0.97567154,0.039526102,-0.20607082,0.11578467,-0.99375365,0.44496972,-0.97435266,-0.87310381,-0.99694062,-0.11474637,-0.98858895,-0.98744452,-0.74193548,0.076923077,-0.99971879,-0.99996635,-0.99655891,-0.99342286,-0.99551876,-0.99873105,-0.99872401,-0.99317442,-0.98459649,-0.49833404,-0.36671438,-0.9997843,-0.99981136,-0.99976144,-0.99981017,-0.99873514,-0.99891193,-0.9579439,-0.99857828,-0.975382,-0.8612167,-0.88065403,-0.9786323,-0.28893465,-0.024441741,STANDING,4
-0.0069252731,-0.051291481,-0.063503995,0.070404256,-0.063657446,-0.0019684088,0.044357555,0.25184689,0.060423011,0.29779812,-0.050173222,-0.97955832,-0.038721165,-0.19959409,-0.10421214,-0.98648523,-0.1467311,-0.97751364,-0.80906443,-0.98085735,-0.43753163,-0.99985376,-0.8639855,-1.0,-1.0,-0.99950883,-0.99999745,-0.99740582,-0.99794586,-0.9973659,-0.99090602,-0.98764015,-0.92881455,-0.97980365,-0.32793087,-0.46630618,-0.99973207,-0.99953082,-0.9995294,-0.99932635,-0.99958983,-0.99871132,-0.97952246,-0.99986865,-0.98410771,-0.940965,-0.89918812,-0.96698256,-0.19427121,0.021212251,STANDING,4
-0.048331213,0.18897502,-0.25335478,0.076136404,0.055114186,0.35944543,-0.27812787,-0.043762895,-0.06447008,-0.06326221,-0.090177482,-0.96793765,0.26512299,0.035387765,0.097565351,-0.95811788,0.28037,-0.94440647,-0.73183975,-0.97875592,0.24183272,-0.9913709,-0.90337086,-1.0,-1.0,-0.99832761,-0.99998894,-0.9966231,-0.99592928,-0.996268,-0.97609544,-0.97059278,-0.9281936,-0.99013406,-0.31157314,-0.71201456,-0.99995556,-0.99976147,-0.99813145,-0.99850067,-0.99586565,-0.99562032,-0.9838099,-0.99765643,-0.9379753,-0.79890145,-0.80012501,-0.99523726,-0.1960965,0.051629709,STANDING,4
