기준일,차량운행,접수건,탑승건,평균대기시간,평균요금,평균승차거리
2015-01-01,213,1023,924,23.2,2427,10764
2015-01-02,420,3158,2839,17.2,2216,8611
2015-01-03,209,1648,1514,26.2,2377,10198
2015-01-04,196,1646,1526,24.5,2431,10955
2015-01-05,421,4250,3730,26.2,2214,8663
2015-01-06,417,3991,3633,23.6,2211,8545
2015-01-07,410,4085,3676,24.7,2230,8646
2015-01-08,419,4030,3728,21.2,2231,8683
2015-01-09,424,4167,3813,21.8,2215,8506
2015-01-10,215,1916,1645,41.2,2447,11123
2015-01-11,187,1700,1572,28.8,2419,10806
2015-01-12,415,4254,3940,23.2,2225,8646
2015-01-13,416,4385,3973,25.6,2257,9034
2015-01-14,408,4255,3910,23.7,2225,8549
2015-01-15,415,4113,3810,22.4,2236,8738
2015-01-16,417,4231,3887,23.3,2214,8541
2015-01-17,219,1913,1728,35.7,2376,10192
2015-01-18,188,1788,1579,33.8,2454,11461
2015-01-19,404,4230,3892,25.8,2228,8694
2015-01-20,413,4471,4015,29.6,2263,9065
2015-01-21,406,4264,3909,26.3,2236,8663
2015-01-22,413,4248,3911,23.4,2236,8685
2015-01-23,405,4333,3951,24.9,2220,8516
2015-01-24,209,1944,1738,34.5,2386,10088
2015-01-25,189,1763,1593,32.5,2414,10884
2015-01-26,405,4304,3952,24.9,2194,8435
2015-01-27,411,4395,4012,26.8,2208,8541
2015-01-28,409,4276,3945,27,2237,8737
2015-01-29,413,4235,3908,22.6,2212,8653
2015-01-30,437,4339,3938,23.6,2199,8453
2015-01-31,221,1832,1654,29.4,2379,10068
2015-02-01,197,1728,1612,29,2394,10695
2015-02-02,421,4341,4049,23.5,2182,8333
2015-02-03,421,4376,4064,23.3,2217,8540
2015-02-04,411,4417,4033,26.3,2223,8615
2015-02-05,408,4307,3911,27.9,2231,8755
2015-02-06,423,4313,3916,26.8,2228,8679
2015-02-07,231,2028,1772,37.2,2427,10800
2015-02-08,197,1667,1548,28.7,2397,10631
2015-02-09,419,4468,3941,31.5,2217,8662
2015-02-10,412,4403,4017,27.9,2189,8354
2015-02-11,406,4516,3905,34,2241,8720
2015-02-12,417,4453,3913,35.3,2242,8854
2015-02-13,404,4478,3742,38.2,2234,8748
2015-02-14,232,2028,1805,37.9,2377,10271
2015-02-15,198,1647,1554,24.7,2394,10620
2015-02-16,414,4444,3717,41.8,2190,8329
2015-02-17,429,4050,3586,27.6,2233,8802
2015-02-18,205,1509,1350,22.6,2475,11992
2015-02-19,182,1350,1093,41.4,2700,14136
2015-02-20,179,1359,1186,27.6,2476,11864
2015-02-21,211,1447,1322,19.8,2308,9637
2015-02-22,195,1532,1454,22.2,2419,11025
2015-02-23,422,4431,4013,27.6,2232,8836
2015-02-24,419,4420,3878,34,2221,8646
2015-02-25,418,4562,3981,36.1,2253,8917
2015-02-26,425,4366,3889,34.5,2258,8935
2015-02-27,427,4427,3968,27.6,2214,8584
2015-02-28,224,2097,1780,45.3,2364,10142
2015-03-01,195,1719,1604,29.8,2436,11122
2015-03-02,442,4597,4120,28.4,2216,8583
2015-03-03,447,4599,4058,32.8,2184,8209
2015-03-04,442,4545,4089,31,2232,8693
2015-03-05,441,4598,4065,29.9,2236,8657
2015-03-06,447,4581,4143,27.7,2238,8744
2015-03-07,258,2042,1797,37.7,2406,10630
2015-03-08,204,1807,1644,32.8,2447,11156
2015-03-09,442,4653,4251,28,2196,8335
2015-03-10,468,4669,4239,28.9,2209,8514
2015-03-11,460,4580,4193,26.2,2245,8867
2015-03-12,472,4523,4135,24.7,2228,8646
2015-03-13,475,4561,4154,24.7,2183,8369
2015-03-14,247,2057,1756,44.8,2428,10972
2015-03-15,229,1756,1579,32.7,2475,11457
2015-03-16,468,4614,4195,25.5,2221,8739
2015-03-17,472,4723,4313,26,2217,8512
2015-03-18,481,4679,4157,27.5,2227,8579
2015-03-19,465,4505,4103,26.1,2247,9010
2015-03-20,476,4528,4128,23.8,2221,8668
2015-03-21,235,2139,1784,46,2461,11216
2015-03-22,209,1829,1709,29.6,2434,11059
2015-03-23,457,4564,4126,28.7,2233,8796
2015-03-24,458,4659,4220,30.3,2242,8825
2015-03-25,460,4683,4262,27.3,2232,8728
2015-03-26,466,4533,4082,27.1,2241,8883
2015-03-27,474,4586,4135,25.9,2228,8712
2015-03-28,233,2129,1759,49.9,2460,11282
