Date,temp_max,temp_min,rain(mm),humidity_max(%),humidity_min(%),sunshine(MJ/m2)
2012-01-01,0.4,-6.6,0,77,45,4.9
2012-01-02,-1.2,-8.3,0,80,48,6.16
2012-01-03,-0.4,-6.6,0.4,86,45,4.46
2012-01-04,-4.6,-9.5,0,66,38,8.05
2012-01-05,-1.4,-9.6,0,71,28,9.14
2012-01-06,1.3,-4.8,0,55,27,8.57
2012-01-07,1.4,-8,0,62,27,8.26
2012-01-08,0.1,-5.4,0,62,37,4.81
2012-01-09,2.6,-1.8,0,82,51,5.34
2012-01-10,1.2,-5.7,0,76,33,7.51
2012-01-11,-3.5,-7.7,0,57,27,9.28
2012-01-12,-0.4,-10.2,0,74,39,6.95
2012-01-13,2.5,-3.5,0,80,25,7.45
2012-01-14,2.1,-6.2,0,68,21,8.79
2012-01-15,0.2,-4.6,0,73,27,7.33
2012-01-16,7,-5.1,0,56,30,8.99
2012-01-17,8,0.1,0,59,32,7.04
2012-01-18,5.2,-2.1,0,51,29,6.8
2012-01-19,8,1.5,0,64,42,4.23
2012-01-20,7.9,3.8,0.7,76,50,4.17
2012-01-21,5.6,-2,0.1,77,55,4.34
2012-01-22,-2.5,-11.1,0,64,23,10.49
2012-01-23,-6,-12.2,0,52,20,10.8
2012-01-24,-3.6,-11.6,0,81,19,10.56
2012-01-25,-5.3,-11.4,1.6,88,24,11.23
2012-01-26,1.6,-8.3,0,65,41,8.19
2012-01-27,4.6,-4.3,0,83,43,5.67
2012-01-28,2.7,-6,0,44,14,9.34
2012-01-29,1.5,-5.5,0,39,14,10.83
2012-01-30,-1.4,-8.8,0,37,13,11.29
2012-01-31,-0.4,-8.4,3.9,92,22,3.53
2012-02-01,-8.1,-15,0,63,35,12.09
2012-02-02,-10,-17,0,54,33,11.97
2012-02-03,-4.3,-14.4,0.1,75,27,11.61
2012-02-04,0.4,-5.1,0.2,85,27,11.66
2012-02-05,4.7,-4.4,0,49,15,9.18
2012-02-06,6.8,-3,0,82,27,8.12
2012-02-07,-0.1,-11.5,0.2,85,24,12.61
2012-02-08,-4.2,-11.8,0,55,26,11.72
2012-02-09,-0.7,-8.9,0,72,30,11.26
2012-02-10,1.4,-6.7,0,61,35,9.13
2012-02-11,0.3,-9,0,66,14,12.82
2012-02-12,4.4,-5,0,75,12,12.56
2012-02-13,8.2,0.2,0,46,18,9.1
2012-02-14,8.2,0.5,0,64,28,11.19
2012-02-15,3,-4.1,0,69,13,11.6
2012-02-16,2.1,-6.1,0,43,20,12.97
2012-02-17,-3.2,-8.6,0,46,22,11.51
2012-02-18,-3,-9.6,0,49,20,13.84
2012-02-19,0.8,-9.5,0,57,15,14.27
2012-02-20,5.1,-5.4,0,71,36,12.33
2012-02-21,5.5,-0.7,0,80,40,5.42
2012-02-22,11.7,-0.6,0,63,31,12.03
2012-02-23,7.9,1.5,0.3,89,40,9.79
2012-02-24,9.1,0.4,0,79,40,8.89
