자치구,동,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10
자치구,동,택시운송업,택시운송업,한식 일반 음식점업,한식 일반 음식점업,용달 화물자동차 운송업,용달 화물자동차 운송업,부동산 중개 및 대리업,부동산 중개 및 대리업,두발미용업,두발미용업,커피전문점,커피전문점,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업,기타주점업,기타주점업,일반 교과 학원,일반 교과 학원,한식 육류요리 전문점,한식 육류요리 전문점
자치구,동,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
합계,합계,"47,176","76,701","29,225","100,183","28,494","29,356","24,013","42,636","18,080","36,214","16,255","57,322","13,388","51,116","13,339","31,371","11,911","50,773","11,109","44,653"
종로구,소계,215,215,"1,548","5,912",618,646,549,889,261,480,948,"3,613",400,962,537,"1,413",110,382,437,"1,982"
종로구,사직동,7,7,230,982,12,12,57,96,28,66,124,525,2,18,74,177,9,34,45,220
종로구,삼청동,5,5,42,145,4,4,9,10,-,-,66,243,2,3,3,8,-,-,7,33
종로구,부암동,22,22,26,100,9,9,17,26,8,10,24,62,3,6,7,23,16,59,3,15
종로구,평창동,10,10,31,116,11,11,33,52,19,28,19,62,2,4,26,54,25,71,10,103
종로구,무악동,10,10,10,26,410,416,12,17,9,10,7,15,-,-,-,-,14,50,1,2
종로구,교남동,14,14,14,44,7,7,26,37,11,25,13,55,-,-,1,1,5,22,3,15
종로구,가회동,9,9,57,270,7,7,16,23,8,8,46,133,2,2,5,9,3,10,6,21
종로구,종로1.2.3.4가동,1,1,565,"2,396",3,11,111,271,37,81,284,"1,360",210,376,237,674,8,50,192,996
종로구,종로5·6가동,6,6,176,542,11,25,71,84,17,25,72,197,71,192,36,74,-,-,51,204
종로구,이화동,4,4,71,395,17,17,13,13,8,32,69,338,9,127,27,108,2,14,11,45
종로구,창신1동,13,13,64,148,11,11,27,34,10,18,16,38,64,164,17,31,2,6,14,39
종로구,창신2동,16,16,37,89,24,24,13,15,19,21,9,22,3,7,9,14,1,6,19,42
종로구,창신3동,16,16,9,24,17,17,15,22,9,15,7,9,2,4,1,2,2,6,1,1
종로구,숭인1동,16,16,11,26,18,18,12,15,13,21,5,14,9,19,3,5,4,16,2,3
종로구,숭인2동,7,7,55,156,19,19,38,51,17,31,20,86,19,33,20,37,1,1,18,56
종로구,청운효자동,22,22,42,138,16,16,29,39,16,27,65,156,1,1,11,23,7,22,11,23
종로구,혜화동,37,37,108,315,22,22,50,84,32,62,102,298,1,6,60,173,11,15,43,164
중구,소계,230,235,"1,588","6,414",300,333,576,"1,152",339,816,869,"3,542","10,810","24,248",381,982,57,175,443,"2,121"
중구,소공동,2,2,193,"1,016",-,-,22,54,18,50,141,669,6,97,24,74,-,-,44,284
중구,회현동,4,8,149,621,3,3,18,33,23,43,93,372,"1,328","2,138",20,39,-,-,32,188
중구,명동,1,1,300,"1,455",2,2,80,355,54,252,233,"1,126",20,738,55,204,3,15,87,517
중구,필동,6,6,120,457,6,6,28,59,13,18,73,236,-,-,38,80,4,12,19,74
중구,장충동,11,11,46,146,4,4,11,16,6,13,24,87,35,567,6,18,1,1,13,42
중구,광희동,6,6,172,673,16,39,60,90,16,61,73,272,751,"1,732",45,111,-,-,67,272
중구,을지로동,1,1,181,648,6,6,58,78,9,15,79,283,405,842,61,166,-,-,29,127
중구,신당5동,15,15,65,161,29,35,30,36,24,33,9,15,32,137,35,54,4,4,27,79
중구,황학동,11,11,80,213,24,24,38,57,25,41,13,36,44,116,18,37,1,1,37,118
중구,중림동,24,24,63,216,25,29,26,67,22,47,35,139,2,168,18,46,4,11,18,87
중구,신당동,5,5,78,262,19,19,92,130,25,44,37,132,"8,054","17,119",21,55,2,6,22,83
중구,다산동,33,33,58,205,53,53,23,39,22,38,24,78,38,187,18,48,8,24,22,152
중구,약수동,53,54,34,160,40,40,35,47,34,64,9,30,5,47,9,24,5,14,13,51
중구,청구동,38,38,20,94,43,43,25,40,20,43,12,31,33,124,8,18,20,72,6,23
중구,동화동,20,20,29,87,30,30,30,51,28,54,14,36,57,236,5,8,5,15,7,24
용산구,소계,416,523,857,"2,987",455,466,791,"1,214",366,777,634,"2,076",54,317,487,"1,332",104,573,300,"1,184"
용산구,후암동,46,46,37,142,56,56,44,55,22,39,36,85,6,28,8,9,15,43,15,59
용산구,용산2가동,35,35,24,80,31,31,23,36,18,20,32,77,2,2,33,73,5,9,4,10
용산구,남영동,4,4,107,397,8,8,21,31,19,36,55,199,3,6,37,109,2,11,40,144
용산구,원효로2동,31,31,38,105,47,47,32,50,19,19,13,38,-,-,8,13,16,45,5,8
용산구,효창동,31,31,12,30,30,30,18,24,7,8,17,66,1,5,1,2,7,33,2,6
용산구,용문동,27,27,24,69,36,36,25,37,28,41,9,23,2,46,16,27,11,23,13,33
용산구,이촌1동,11,11,37,116,5,5,58,86,29,86,17,101,1,1,15,51,12,42,12,58
용산구,이촌2동,30,30,10,19,36,40,30,41,8,8,7,15,-,-,-,-,1,1,1,3
용산구,이태원1동,8,8,71,301,9,9,34,52,12,22,48,166,3,11,136,510,-,-,19,80
용산구,이태원2동,35,35,29,97,18,18,35,40,14,21,39,92,5,11,52,118,1,7,7,22
용산구,서빙고동,21,128,15,62,17,17,21,31,11,14,10,35,2,11,1,1,4,13,1,5
용산구,보광동,44,44,38,83,31,35,65,91,40,51,17,32,4,6,18,31,7,26,26,66
용산구,청파동,38,38,71,178,64,67,59,79,47,105,64,158,4,87,33,61,7,24,25,73
용산구,원효로1동,15,15,76,226,28,28,63,81,18,32,43,111,2,2,33,66,8,22,28,109
용산구,한강로동,7,7,182,732,12,12,166,278,39,187,144,512,6,16,37,83,-,-,65,305
용산구,한남동,33,33,86,350,27,27,97,202,35,88,83,366,13,85,59,178,8,274,37,203
성동구,소계,"1,200","2,527",956,"2,785","1,072","1,161",801,"1,453",489,851,547,"1,859",149,"1,572",285,621,258,"1,494",400,"1,545"
성동구,왕십리2동,37,37,26,60,57,134,40,64,25,42,13,37,5,11,7,17,10,49,7,24
