자치구,세대,인구,남자,여자,한국인,등록외국인,세대당인구,65세이상고령자
종로구,73766,153684,74018,79666,144275,9409,1.96,28064
중구,63767,131450,63869,67581,122173,9277,1.92,24742
용산구,111207,236518,114571,121947,222169,14349,2.0,39461
성동구,134533,291609,141662,149947,285073,6536,2.12,46896
광진구,169483,353110,169525,183585,340707,12403,2.01,52604
동대문구,169695,352592,172318,180274,337982,14610,1.99,62963
중랑구,187693,393600,193623,199977,389043,4557,2.07,72851
성북구,197296,442680,212277,230403,433150,9530,2.2,75719
강북구,144725,300824,145934,154890,297384,3440,2.05,64961
도봉구,138836,318100,154440,163660,316098,2002,2.28,65122
노원구,219065,514445,247417,267028,510486,3959,2.33,89426
은평구,215178,476013,227172,248841,472259,3754,2.19,88418
서대문구,145044,317075,149805,167270,305866,11209,2.11,55012
마포구,180702,378629,176886,201743,368331,10298,2.04,55168
양천구,181765,449378,219882,229496,446182,3196,2.45,69953
강서구,272572,578426,277797,300629,573046,5380,2.1,93924
구로구,181916,419984,208027,211957,396017,23967,2.18,73864
금천구,118697,244901,123959,120942,231098,13803,1.95,41819
영등포구,188193,400241,198080,202161,376740,23501,2.0,63547
동작구,186419,394649,190377,204272,386017,8632,2.07,67470
관악구,279353,500336,250450,249886,486375,13961,1.74,80686
서초구,169895,413677,197665,216012,409823,3854,2.41,61404
강남구,234612,537338,257096,280242,532577,4761,2.27,79575
송파구,285106,668261,321963,346298,662607,5654,2.32,99854
강동구,201926,465097,227891,237206,461300,3797,2.28,75477
