FID,Shape,BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,Area
0,Polygon,20220630,11010,종로구,24
1,Polygon,20220630,11020,중구,10
2,Polygon,20220630,11030,용산구,22
3,Polygon,20220630,11040,성동구,17
4,Polygon,20220630,11050,광진구,17
5,Polygon,20220630,11060,동대문구,14
6,Polygon,20220630,11070,중랑구,19
7,Polygon,20220630,11080,성북구,25
8,Polygon,20220630,11090,강북구,24
9,Polygon,20220630,11100,도봉구,21
10,Polygon,20220630,11110,노원구,36
11,Polygon,20220630,11120,은평구,30
12,Polygon,20220630,11130,서대문구,18
13,Polygon,20220630,11140,마포구,24
14,Polygon,20220630,11150,양천구,17
15,Polygon,20220630,11160,강서구,41
16,Polygon,20220630,11170,구로구,20
17,Polygon,20220630,11180,금천구,13
18,Polygon,20220630,11190,영등포구,25
19,Polygon,20220630,11200,동작구,16
20,Polygon,20220630,11210,관악구,30
21,Polygon,20220630,11220,서초구,47
22,Polygon,20220630,11230,강남구,39
23,Polygon,20220630,11240,송파구,34
24,Polygon,20220630,11250,강동구,25
