date,hour,PM10,PM2.5,ozone,temperature,precipitation,windspeed,humidity,visibility,count
2021-04-01,1,42,21,0.002,13.1,0,1.4,49,2000,46
2021-04-01,2,41,21,0.003,12.4,0,2.1,53,2000,40
2021-04-01,3,30,13,0.023,13.1,0,3.4,43,2000,31
2021-04-01,4,27,12,0.028,13,0,3.1,44,2000,12
2021-04-01,5,29,14,0.008,13,0,2.9,44,2000,30
2021-04-01,6,31,14,0.009,12.6,0,3,45,2000,77
2021-04-01,7,30,10,0.018,12,0,3.5,46,2000,171
2021-04-01,8,39,10,0.027,14,0,3.5,43,2000,330
2021-04-01,9,35,10,0.032,16.2,0,4.3,38,2000,218
2021-04-01,10,31,9,0.033,18.2,0,3.7,31,2000,175
2021-04-01,11,34,9,0.038,20.2,0,2.9,25,2000,247
2021-04-01,12,40,8,0.042,21.7,0,3.2,21,2000,269
2021-04-01,13,37,9,0.044,22.6,0,3.5,20,2000,289
2021-04-01,14,43,10,0.044,23.6,0,3.2,20,2000,265
2021-04-01,15,40,9,0.045,23.2,0,3.6,19,2000,342
2021-04-01,16,46,10,0.045,23.5,0,3,20,2000,369
2021-04-01,17,50,12,0.043,23,0,3.6,22,2000,564
2021-04-01,18,51,16,0.039,22.3,0,2.4,24,2000,820
2021-04-01,19,50,14,0.037,20.6,0,4.6,25,2000,526
2021-04-01,20,39,13,0.036,19.2,0,3.4,27,2000,435
2021-04-01,21,44,12,0.034,18.1,0,3.7,33,2000,396
2021-04-01,22,48,13,0.037,16.5,0,6.5,38,2000,307
2021-04-01,23,46,12,0.038,15.4,0,5.7,40,2000,157
2021-04-02,0,49,11,0.039,14.6,0,5.1,41,2000,85
2021-04-02,1,45,11,0.04,14.2,0,4.8,39,2000,48
2021-04-02,2,45,13,0.04,13.7,0,4.3,39,2000,17
2021-04-02,3,44,10,0.039,12.9,0,4.8,43,2000,20
2021-04-02,4,45,11,0.039,12.6,0,5,45,2000,12
2021-04-02,5,41,10,0.037,12.8,0,3.7,45,2000,24
2021-04-02,6,41,9,0.034,12.7,0,3.6,45,2000,72
2021-04-02,7,37,9,0.032,12.9,0,4,44,2000,169
2021-04-02,8,39,9,0.032,13.6,0,4.1,42,2000,336
2021-04-02,9,39,7,0.035,15.4,0,4.9,38,2000,207
2021-04-02,10,38,7,0.036,17.4,0,3.9,34,2000,211
2021-04-02,11,37,7,0.037,18.9,0,3.9,29,2000,233
