voc_trt_perd_itg_cd,voc_prod_sbt_id,voc_wjt_sorc_id,voc_type_itg_cd,voc_sttus_itg_cd,voc_trt_reslt_itg_cd,cust_clas_itg_cd,bprod_sbt_id,age_itg_cd,cont_sttus_itg_cd,new_date,opn_nfl_chg_date,cust_dtl_ctg_itg_cd,voc_trt_degr_div_itg_cd,voc_dupl_tmscnt,oos_cause_type_itg_cd,voc_trt_need_time_itg_cd,engt_cperd_type_itg_cd,engt_tgt_div_itg_cd,cont_fns_pam_date,voc_mis_pbls_yn,fclt_oos_yn,cust_snsry_base_conf_need_time,trm_yn
_,1000665328,2153,10009,10002,_,F,1000001126,36,10001,19881005,19881005,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028714,3311,10009,10002,10081,G,1000852226,32,10001,20130817,20130817,10002,20001,0,_,10001,15098,15244,20220319,N,_,0,N
_,1001028567,1575,10009,10002,_,G,1000851875,52,10001,20190509,20190509,10003,20001,0,10268,10001,15097,15244,20220508,N,N,0,N
10000,1000665328,3546,10009,10002,_,_,1000001126,_,10001,20190731,20190731,90024,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000779276,3086,10009,10002,_,G,1000764639,50,10001,20180403,20180403,90024,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001033344,2153,10009,10002,_,O,1000001126,56,10001,20170821,20170821,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001044841,128,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10004,_,_,99991231,N,_,0,N
10000,1001028565,368,10011,10002,10021,L,1000851873,30,10001,20200307,20200307,10002,20001,0,_,10001,15097,15244,20230306,N,_,0,N
10000,1001028567,2055,10007,10002,_,F,1000851875,59,10007,10101,10101,10003,20002,0,_,10001,15097,15244,20230412,N,_,1,N
_,1000665328,2064,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027844,656,10009,10002,_,_,1000003226,_,10001,20170905,20170905,90056,20001,0,_,10001,15097,15244,20200904,N,_,0,N
10002,1001028567,3339,10007,10002,10081,L,1000851875,24,10001,20200330,20200330,10003,20002,0,_,10020,15097,15244,20230329,N,_,0,N
10000,1000675293,656,10009,10002,_,I,1000748647,62,10001,20020830,20180313,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000779249,2174,10009,10002,_,J,1000748612,33,10001,20160126,20160126,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665524,2064,10009,10002,_,_,1000002244,71,10001,20101108,20101108,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028473,2153,10009,10002,_,L,1000784228,63,10001,20100315,20100315,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028573,314,10009,10002,_,I,1000851881,31,10001,20091010,20091010,90029,20001,0,_,10001,15098,15244,20180108,N,_,0,N
_,1001027747,2106,10009,10002,10082,G,1000737200,77,10001,20120730,20120730,10002,20001,0,_,10001,15097,15249,20190930,N,_,0,N
_,1001028488,2555,10009,10002,_,L,1000851716,42,10001,20131122,20131122,10003,20001,0,_,10001,15098,15244,20180904,N,_,0,N
_,1000669557,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028129,1886,10009,10002,_,F,1000001126,40,10001,20131213,20131213,10003,20001,0,10268,10001,_,_,99991231,N,N,0,N
10000,1001044841,277,10009,10002,_,_,1001044103,39,10001,20170315,20200410,10002,20001,0,_,10001,15097,15244,20200609,N,_,0,N
_,1000823896,2126,10009,10002,_,G,1000823824,10,10001,20200213,20200213,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000792727,2178,10009,10003,_,J,1000002571,73,10001,20160614,20160614,10003,20002,0,_,10038,_,_,99991231,N,_,0,N
10000,1000670060,128,10009,10002,_,J,1001060909,53,10001,20151226,20151226,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
